Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,X,
1,5,TPC,MPOLY,0.669292398,0.026046336,940629281.3,719086918.2,2396487.84,1681020.543,0.711518233,0.004433432,,
1,5,TPC,MNOUNIF,0.669362108,0.02317681,1021907520,723907248.3,2493876.64,1651218.657,0.710514842,0.008258916,,
1,5,TPC,NONE,0.676481706,0.017352406,913353466.9,645629607.4,2498492.32,1748962.898,0.709470728,0.005509237,,
1,5,UC,MPOLY,0.668700756,0.025104042,903123929.6,679894481.9,2287860.64,1665606.719,0.710153188,0.004040218,,
1,5,UC,MNOUNIF,0.669035988,0.020837533,954517024,692333124.4,2395470.24,1622383.778,0.709854181,0.010961928,,
1,5,UC,NONE,0.672340885,0.023222034,1016217725,723897873,2402639.52,1719245.701,0.709722794,0.008242999,,
1,5,SBX,MPOLY,0.668988327,0.023719563,1006573162,791074256.7,2469111.2,1789701.653,0.710547475,0.002441311,,
1,5,SBX,MNOUNIF,0.667616706,0.023222891,964341617.9,708761900.7,2388187.04,1662410.979,0.710260948,0.002911413,,
1,5,SBX,NONE,0.673196244,0.020670551,994038697,728517285.2,2552510.88,1732456.828,0.708473842,0.007791805,,
1,5,NONE,MPOLY,0.66916237,0.023412898,1002040238,1009576968,2363163.04,1770547.516,0.712874777,0.011508666,,
1,5,NONE,MNOUNIF,0.669594737,0.020066044,1005166737,706501133.3,2452233.12,1622235.49,0.708106164,0.008276342,,
1,5,SPC,MPOLY,0.672317462,0.020894591,951054680.3,692433227.2,2364225.44,1462988.116,0.709820602,0.00800936,"['SPC_MBFLIP', 'NONE_MNOUNIF', 'SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SPC_MPOLY']","{'NONE_MNOUNIF': 1, 'SBX_MPOLY': 2, 'UC_MPOLY': 1, 'SPC_MPOLY': 1}"
1,6,SPC,MPOLY,0.672135638,0.026879181,1040516314,809701355.4,2451681.44,1700218.854,0.715706872,0.00588627,,
1,6,SPC,MNOUNIF,0.669425657,0.025981696,931733400.3,702325141.7,2296260,1503873.547,0.710526305,0.00213886,,
1,6,SPC,NONE,0.673454822,0.021031798,708750251.5,512933075.5,1907116.96,1118012.077,0.717706524,0.004211143,,
1,6,TPC,MPOLY,0.673522757,0.025451938,1010193385,740177223,2441039.52,1613489.099,0.713830943,0.002312711,,
1,6,TPC,MNOUNIF,0.67126177,0.023027451,946185712.6,693697653.6,2387091.36,1497603.414,0.709832531,-0.000682311,,
1,6,TPC,NONE,0.673559834,0.025884197,971257725.4,704019182.9,2428779.68,1594743.416,0.71025364,0.000782912,,
1,6,UC,MPOLY,0.67400325,0.021709174,899861440,751626343.1,2135502.24,1338130.391,0.719843604,0.009690416,,
1,6,UC,MNOUNIF,0.673559701,0.020541695,969337603.8,702009261.7,2432260,1480505.507,0.710049818,0.000195637,,
1,6,UC,NONE,0.670030319,0.027672134,902080856.3,798605859.4,2135372.96,1540763.663,0.713249243,0.003526449,,
1,6,SBX,MPOLY,0.67123137,0.025004215,888940809,668165372.4,2277071.52,1468255.827,0.713476546,0.002929071,,
1,6,SBX,MNOUNIF,0.670310808,0.023880136,936710554.9,697618532.8,2325385.12,1492794.095,0.710752842,0.000491895,,
1,6,SBX,NONE,0.672949245,0.025280242,997869253.1,739699281.9,2528050.08,1679801.962,0.709834354,0.001360513,,
1,6,NONE,MPOLY,0.670233497,0.02487133,895911374.1,660176739.1,2259470.24,1563535.284,0.712619081,-0.000255695,,
1,6,NONE,MNOUNIF,0.672443088,0.020941926,943861625.6,695309602.1,2354419.36,1446742.646,0.70988691,0.001780746,,
1,6,TPC,MPOLY,0.673522757,0.025451938,1010193385,740177223,2441039.52,1613489.099,0.713830943,0.002312711,"['SPC_MBFLIP', 'NONE_MNOUNIF', 'SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SPC_MPOLY', 'TPC_MPOLY']","{'NONE_MNOUNIF': 1, 'SBX_MPOLY': 2, 'UC_MPOLY': 1, 'SPC_MPOLY': 1, 'TPC_MPOLY': 1}"
