Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,succ_cross,succ_mut,search_name
10,26,SBX,MNUF,0.662523197689524,0.03232778921961379,537155736.32,943164723.740555,1536336.8,1949739.0760262457,0.7229184532141928,0.0,0.0,0.06,MARKOV_MUT
10,27,SBX,MNUF,0.6623508525984251,0.0324474524863005,527442574.08,932155437.8719529,1527933.6,1941158.656332532,0.7229242251540913,5.771939898480127e-06,0.0,0.055,MARKOV_MUT
10,28,NONE,MPOLY,0.6593938641362181,0.03438785659823899,555219523.84,1069614995.2956709,1457016.48,2069311.33149413,0.7229516632162047,2.7438062113471773e-05,0,0.02,MARKOV_MUT
10,29,UC,MPOLY,0.6620216077492735,0.03373164554330713,710325306.88,1478897967.5157027,1687179.68,2557897.436388109,0.7248412276792654,0.0018895644630606556,0.04,0.02,MARKOV_MUT
10,30,SBX,MNUF,0.6620216077492735,0.03373164554330713,710325306.88,1478897967.5157027,1687179.68,2557897.436388109,0.7248412276792654,0.0,0.0,0.065,MARKOV_MUT
10,31,SBX,MPOLY,0.6579099636229848,0.037695375811987696,763582022.4,1573947285.4314158,1757806.24,2706078.2184619163,0.7248899980236838,4.877034441841399e-05,0.0,0.07,MARKOV_MUT
10,32,UC,MPOLY,0.6464224193268417,0.0363133502105198,324099539.2,659148990.5705314,884952.48,1426905.6614980295,0.7259864016712896,0.0010964036476057704,0.08,0.02,MARKOV_MUT
10,33,SBX,MPOLY,0.6424501398564034,0.040267204159033794,295314700.8,393904246.8505978,851244.96,1200051.84976905,0.7273838543136273,0.0013974526423377043,0.01,0.05,MARKOV_MUT
10,34,SBX,MNUF,0.6424501398564034,0.040267204159033794,295314700.8,393904246.8505978,851244.96,1200051.84976905,0.7273838543136273,0.0,0.01,0.105,MARKOV_MUT
10,35,SBX,MNUF,0.6424501398564034,0.040267204159033794,295314700.8,393904246.8505978,851244.96,1200051.84976905,0.7273838543136273,0.0,0.0,0.055,MARKOV_MUT
10,36,SBX,MPOLY,0.6433516019192617,0.040469660864682906,299114296.32,393791784.373405,866328.48,1197701.029717087,0.7274035315711521,1.9677257524830516e-05,0.0,0.105,MARKOV_MUT
10,37,SPC,MPOLY,0.6457750283746632,0.040421688325430055,296212820.48,368867212.7676274,875262.88,1152100.5085107575,0.7280284946342994,0.0006249630631472991,0.04,0.025,MARKOV_MUT
10,38,UC,MPOLY,0.6533851154379525,0.036178767163065666,298956401.92,358858545.9611561,943820.96,1194921.4634483885,0.7281422684991881,0.00011377386488864438,0.04,0.025,MARKOV_MUT
10,39,SBX,MPOLY,0.655249056231202,0.03439049509751831,297574234.88,348679301.5960407,958395.04,1195574.9099688064,0.728372493991772,0.0002302254925838909,0.02,0.09,MARKOV_MUT
10,40,NONE,MPOLY,0.6565734088526513,0.03541008158732186,314972267.52,359105152.1163072,1029104.8,1254318.5160799946,0.7283899916638246,1.749767205261321e-05,0,0.04,MARKOV_MUT
10,41,UC,MPOLY,0.6596750032791789,0.03636721085527369,356170787.84,395183046.28542405,1158668.96,1349633.3435355977,0.7285442478464317,0.00015425618260711538,0.03,0.025,MARKOV_MUT
