ID,Seed,Execution,Generation,isChild,isMutant,Integer_encoding,Genotype,Crossover type,Mutation type,Search strategy,Epochs,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Was_invalid
NYMP-SOGL(1)[M]-UMOU-OPHI(2)[M](1),1,1,2,TRUE,FALSE,"[1, 2, 1, 1, 0, 1, 1, 2, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.679199994,1.014244199,727401822,31.87373924,4902186,NYMP-SOGL(1)[M],UMOU-OPHI(2)[M],"[1, 2, 1, 1, 0, 1, 1, 3, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0, 5, 0, 3]","[1, 1, 1, 1, 2, 0, 1, 2, 0, 2, -1, 1, 1, 0, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]",NONE,1,8,-1,0,0,FALSE
NYMP-SOGL(1)[M]-UMOU-OPHI(2)[M](2),1,1,2,TRUE,FALSE,"[1, 1, 1, 1, 2, 0, 1, 3, 0, 2, -1, 1, 1, 0, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.716300011,0.819545507,403268270,23.36837721,617002,NYMP-SOGL(1)[M],UMOU-OPHI(2)[M],"[1, 2, 1, 1, 0, 1, 1, 3, 0, 1, 2, 0, 1, 2, 1, 2, -1, 0, 5, 1, 0, 5, 0, 3]","[1, 1, 1, 1, 2, 0, 1, 2, 0, 2, -1, 1, 1, 0, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]",NONE,8,1,-1,0,0,FALSE
UMOU-OPHI(1)[M],1,1,2,FALSE,FALSE,"[1, 0, 1, 1, 0, 1, 1, 3, 0, 1, 0, 1, 1, 0, 0, 1, 3, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.632000029,1.100306153,600476318,47.36085033,67632874,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,1,0,FALSE
UMOU-OPHI(2)[M],1,1,2,FALSE,FALSE,"[1, 1, 1, 1, 2, 0, 1, 2, 0, 2, -1, 1, 1, 0, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.699800014,0.865610838,241910190,20.51684475,367018,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,1,0,FALSE
UMOU-OPHI(1)[M]-UMOU-OPHI(2)[M](1),1,1,2,TRUE,FALSE,"[1, 0, 1, 1, 2, 0, 1, 2, 0, 2, -1, 1, 1, 0, 0, 1, 3, 1, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.743099988,0.898590922,222143454,21.13463783,6985386,UMOU-OPHI(1)[M],UMOU-OPHI(2)[M],"[1, 0, 1, 1, 0, 1, 1, 3, 0, 1, 0, 1, 1, 0, 0, 1, 3, 1, 5, 2, 0, 5, 0, 3]","[1, 1, 1, 1, 2, 0, 1, 2, 0, 2, -1, 1, 1, 0, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]",NONE,5,5,-1,1,0,FALSE
UMOU-OPHI(1)[M]-UMOU-OPHI(2)[M](2),1,1,2,TRUE,FALSE,"[1, 1, 1, 1, 0, 1, 1, 3, 0, 1, 0, 1, 1, 0, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.672500014,0.970282733,369409438,29.09821844,771562,UMOU-OPHI(1)[M],UMOU-OPHI(2)[M],"[1, 0, 1, 1, 0, 1, 1, 3, 0, 1, 0, 1, 1, 0, 0, 1, 3, 1, 5, 2, 0, 5, 0, 3]","[1, 1, 1, 1, 2, 0, 1, 2, 0, 2, -1, 1, 1, 0, 1, 2, -1, 1, 5, 1, 0, 5, 0, 3]",NONE,5,5,-1,1,0,FALSE
NYMP-SOGL(2)[M],1,1,2,FALSE,FALSE,"[1, 0, 0, 1, 2, 1, 1, 3, 0, 1, 3, 0, 1, 1, 0, 1, 2, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.628099978,1.456156969,1389643102,45.6450398,18119754,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,2,0,FALSE
OPHI-SOGL(2)[M],1,1,2,FALSE,FALSE,"[1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 0, 1, 2, -1, 0, 1, 2, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.753400028,0.777365744,21396126,17.31416416,2172746,NONE,NONE,NONE,NONE,NONE,-1,-1,-1,2,0,FALSE
NYMP-SOGL(2)[M]-OPHI-SOGL(2)[M](1),1,1,2,TRUE,FALSE,"[1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 0, 1, 2, -1, 0, 1, 2, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.753199995,0.752661109,24540510,17.46217036,1188298,NYMP-SOGL(2)[M],OPHI-SOGL(2)[M],"[1, 0, 0, 1, 2, 1, 1, 3, 0, 1, 3, 0, 1, 1, 0, 1, 2, 1, 5, 1, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 0, 1, 2, -1, 0, 1, 2, 0, 5, 2, 0, 5, 0, 3]",NONE,8,2,-1,2,0,FALSE
NYMP-SOGL(2)[M]-OPHI-SOGL(2)[M](2),1,1,2,TRUE,FALSE,"[1, 0, 0, 1, 2, 1, 1, 3, 0, 1, 3, 0, 1, 1, 0, 1, 2, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'CONV': [128, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",TPC,L_MODIFY_PARAMS,GA,5,0.635599971,1.741780639,1272203934,46.26961517,34767306,NYMP-SOGL(2)[M],OPHI-SOGL(2)[M],"[1, 0, 0, 1, 2, 1, 1, 3, 0, 1, 3, 0, 1, 1, 0, 1, 2, 1, 5, 1, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 0, 2, -1, 0, 1, 0, 1, 2, -1, 0, 1, 2, 0, 5, 2, 0, 5, 0, 3]",NONE,2,8,-1,2,0,FALSE
