Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
4,3.0,0.0,0.0,0.5,0.0,0.24,0.405,0.0333333333333333,0.6860083391205529
4,4.0,0.0,0.0,0.25,0.875,0.19,0.325,0.1333333333333333,0.6954702751215689
4,5.0,0.0,0.0,0.25,0.0,0.14,0.36,0.1333333333333333,0.6961930249467716
4,6.0,0.0,0.0,0.25,1.0,0.14,0.325,0.2,0.699569408844653
4,7.0,0.0,0.0,0.25,0.0,0.19,0.34,0.2,0.7000553664107692
4,8.0,0.5,0.5,0.375,0.875,0.18,0.345,0.2666666666666666,0.7053891323731103
4,9.0,0.0,0.0,0.375,0.75,0.07,0.3,0.3,0.7084978272110449
4,10.0,0.0,0.0,0.375,0.0,0.17,0.27,0.3,0.709507004531679
4,11.0,0.375,0.5,0.5,0.625,0.13,0.265,0.3666666666666666,0.7106374566544883
4,12.0,0.0,0.0,0.25,0.25,0.22,0.315,0.4,0.7114038700278602
4,13.0,0.0,0.0,0.25,0.75,0.09,0.255,0.4333333333333333,0.7127914342908893
4,14.0,0.0,0.0,0.25,0.0,0.17,0.285,0.4333333333333333,0.7141809150317748
4,15.0,0.0,0.0,0.25,0.0,0.14,0.245,0.4333333333333333,0.7145048882535179
4,16.0,0.0,0.0,0.25,0.0,0.17,0.25,0.4333333333333333,0.7149615928326588
4,17.0,0.0,0.0,0.25,0.0,0.07,0.29,0.4333333333333333,0.7180458383008977
4,18.0,0.0,0.0,0.25,0.0,0.13,0.31,0.4333333333333333,0.7184851396644616
4,19.0,0.0,0.0,0.25,0.0,0.13,0.26,0.4333333333333333,0.7193028477647321
4,20.0,0.0,0.0,0.25,0.0,0.17,0.215,0.4333333333333333,0.7193060088797264
4,21.0,0.0,0.0,0.125,0.875,0.1,0.27,0.7,0.7218033762351617
4,22.0,0.0,0.0,0.125,0.0,0.13,0.23,0.7,0.7218558085198927
4,23.0,0.0,0.0,0.125,0.0,0.09,0.28,0.7,0.7219062971646192
4,24.0,0.0,0.0,0.125,0.0,0.13,0.23,0.7,0.7221098939982529
4,25.0,0.0,0.0,0.125,0.0,0.1,0.27,0.7,0.7225516949550574
4,26.0,0.0,0.0,0.125,0.0,0.11,0.275,0.7,0.7243615657525634
4,27.0,0.625,0.25,0.0,0.625,0.09,0.23,0.9,0.7284837406379849
4,28.0,0.625,0.25,0.0,0.0,0.08,0.24,0.9,0.7286479975958869
4,29.0,0.625,0.25,0.0,0.0,0.13,0.175,0.9,0.7286839555971392
4,30.0,0.625,0.25,0.0,0.0,0.14,0.18,0.9,0.7287854469272481
4,30.0,0.625,0.25,0.0,0.0,0.14,0.18,0.9,0.7287854469272481
5,1.0,0.0,0.0,0.375,0.0,0.23,0.515,0.0333333333333333,0.6782942261451322
5,2.0,0.5,0.5,0.25,1.0,0.21,0.295,0.0666666666666666,0.6904258297266552
5,3.0,0.5,0.5,0.25,0.0,0.18,0.45,0.0666666666666666,0.693150000930575
5,4.0,0.375,0.625,0.25,1.0,0.11,0.3,0.1333333333333333,0.6990707249177203
5,5.0,0.75,0.25,0.5,0.625,0.14,0.305,0.1666666666666666,0.7024871414451734
5,6.0,0.75,0.25,0.5,0.0,0.13,0.4,0.1666666666666666,0.7034055634461271
5,7.0,0.75,0.25,0.5,0.0,0.13,0.375,0.1666666666666666,0.7061541499658337
5,8.0,0.0,0.0,0.375,0.75,0.13,0.29,0.2666666666666666,0.7095207204089178
5,9.0,0.0,0.0,0.375,0.0,0.13,0.315,0.2666666666666666,0.7095289995531318
5,10.0,0.0,0.0,0.375,0.0,0.14,0.34,0.2666666666666666,0.7097892425792255
5,11.0,0.0,0.0,0.375,0.0,0.13,0.325,0.2666666666666666,0.7098294263358973
5,12.0,0.0,0.0,0.375,0.0,0.11,0.3,0.2666666666666666,0.710824874523871
5,13.0,0.0,0.0,0.375,0.0,0.12,0.345,0.2666666666666666,0.7110252124879511
5,14.0,0.0,0.0,0.375,0.0,0.1,0.35,0.2666666666666666,0.7115733814347159
5,15.0,0.0,0.0,0.375,0.0,0.08,0.28,0.2666666666666666,0.7131505374555909
5,16.0,0.0,0.0,0.375,0.0,0.1,0.38,0.2666666666666666,0.713350763353231
5,17.0,0.0,0.0,0.375,0.0,0.13,0.345,0.2666666666666666,0.7133511439788722
5,18.0,0.0,0.0,0.375,0.0,0.15,0.335,0.2666666666666666,0.7133920797034864
5,19.0,0.0,0.0,0.375,0.0,0.13,0.36,0.2666666666666666,0.7141569017282301
5,20.0,0.0,0.0,0.375,0.0,0.09,0.305,0.2666666666666666,0.714230333108188
5,21.0,0.0,0.0,0.375,0.0,0.09,0.265,0.2666666666666666,0.7143531718095293
5,22.0,0.0,0.0,0.375,0.0,0.11,0.335,0.2666666666666666,0.7148550639620084
5,23.0,0.0,0.0,0.375,0.0,0.13,0.33,0.2666666666666666,0.7154601661570755
5,24.0,0.0,0.0,0.375,0.0,0.13,0.35,0.2666666666666666,0.7154952553637959
5,25.0,0.0,0.0,0.375,0.0,0.06,0.27,0.2666666666666666,0.7158933552804659
5,26.0,0.0,0.0,0.375,0.0,0.13,0.325,0.2666666666666666,0.7159529628424971
5,27.0,0.0,0.0,0.125,0.75,0.11,0.255,0.9,0.7166853424419571
5,28.0,0.0,0.0,0.125,0.0,0.08,0.27,0.9,0.7167045176827352
5,29.0,0.0,0.0,0.125,0.0,0.12,0.255,0.9,0.716711608004485
5,30.0,0.0,0.0,0.125,0.0,0.1,0.275,0.9,0.7167121670347913
5,30.0,0.0,0.0,0.125,0.0,0.1,0.275,0.9,0.7167121670347913
6,1.0,0.0,0.0,0.625,0.0,0.17,0.42,0.0333333333333333,0.673463212804767
6,2.0,0.0,0.0,0.625,0.0,0.2,0.375,0.0333333333333333,0.6742025363882826
6,3.0,0.25,0.75,0.375,1.0,0.2,0.38,0.1,0.6904724318726999
6,4.0,0.25,0.75,0.375,0.0,0.21,0.38,0.1,0.6952228554550408
6,5.0,0.25,0.75,0.375,0.0,0.2,0.32,0.1,0.6978566555936454
6,6.0,0.25,0.75,0.375,0.0,0.24,0.31,0.1,0.6984314167158708
6,7.0,0.25,0.75,0.375,0.0,0.17,0.25,0.1,0.6985742044604133
6,8.0,0.25,0.75,0.375,0.0,0.15,0.295,0.1,0.6996504401339877
6,9.0,0.0,0.0,0.375,0.375,0.16,0.295,0.3,0.7016995783099848
6,10.0,0.0,0.0,0.125,0.125,0.16,0.285,0.3333333333333333,0.7028221193980506
6,11.0,0.0,0.0,0.125,0.0,0.19,0.28,0.3333333333333333,0.7066707181310574
6,12.0,0.0,0.0,0.125,0.0,0.18,0.245,0.3333333333333333,0.7069933771213129
6,13.0,0.0,0.0,0.125,0.0,0.21,0.28,0.3333333333333333,0.7084169883339273
6,14.0,0.0,0.0,0.125,0.125,0.14,0.255,0.4666666666666667,0.7107221602509859
6,15.0,0.0,0.0,0.125,0.0,0.13,0.305,0.4666666666666667,0.7111303096283614
6,16.0,0.0,0.0,0.125,0.0,0.16,0.28,0.4666666666666667,0.7121652348263839
6,17.0,0.0,0.0,0.125,0.0,0.11,0.275,0.4666666666666667,0.7123410589933357
6,18.0,0.0,0.0,0.125,0.0,0.15,0.28,0.4666666666666667,0.7138721535777556
6,19.0,0.0,0.0,0.125,0.0,0.11,0.225,0.4666666666666667,0.713941640275608
6,20.0,0.0,0.0,0.125,0.0,0.11,0.295,0.4666666666666667,0.7139942934496712
6,21.0,0.0,0.0,0.125,0.0,0.15,0.315,0.4666666666666667,0.7139980051198911
6,22.0,0.0,0.0,0.125,0.0,0.12,0.325,0.4666666666666667,0.714271069367409
6,23.0,0.0,0.0,0.125,0.0,0.12,0.275,0.4666666666666667,0.7143349491484325
6,24.0,0.0,0.0,0.125,0.25,0.17,0.255,0.8,0.7143755946124049
6,25.0,0.0,0.0,0.125,0.0,0.14,0.26,0.8,0.715061015544252
6,26.0,0.0,0.0,0.125,0.0,0.1,0.21,0.8,0.7151524994616261
