Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
5,5.0,0.375,0.5,0.0,0.0,0.11,0.0,0.1333333333333333,0.7018466548530158
5,6.0,0.375,0.5,0.0,0.0,0.1,0.0,0.1333333333333333,0.7053831075577115
5,7.0,0.375,0.5,0.0,0.0,0.08,0.0,0.1333333333333333,0.7058943402549027
5,8.0,0.375,0.5,0.0,0.0,0.07,0.0,0.1333333333333333,0.7063251929539868
5,9.0,0.375,0.5,0.0,0.0,0.14,0.0,0.1333333333333333,0.707739299720643
5,10.0,0.375,0.5,0.0,0.0,0.06,0.0,0.1333333333333333,0.707830589960485
5,11.0,0.125,0.25,0.0,0.375,0.07,0.0,0.3666666666666666,0.7088026900373982
5,12.0,0.125,0.25,0.0,0.0,0.07,0.0,0.3666666666666666,0.7088459259703523
5,13.0,0.125,0.25,0.0,0.0,0.07,0.0,0.3666666666666666,0.709682726645903
5,14.0,0.25,0.125,0.0,0.125,0.08,0.0,0.4666666666666667,0.7117605990888608
5,15.0,0.25,0.125,0.0,0.0,0.08,0.0,0.4666666666666667,0.7117917752103556
5,16.0,0.375,0.125,0.0,0.25,0.06,0.0,0.5333333333333333,0.7123238088154986
5,17.0,0.375,0.125,0.0,0.0,0.1,0.0,0.5333333333333333,0.7123420340883313
5,18.0,0.375,0.125,0.0,0.0,0.05,0.0,0.5333333333333333,0.7123446609728732
5,19.0,0.375,0.125,0.0,0.0,0.09,0.0,0.5333333333333333,0.7123725674960374
5,20.0,0.25,0.25,0.0,0.25,0.04,0.0,0.6666666666666666,0.7133407462034015
5,21.0,0.25,0.25,0.0,0.0,0.06,0.0,0.6666666666666666,0.7133424536977265
5,22.0,0.25,0.25,0.0,0.0,0.04,0.0,0.6666666666666666,0.7133546741735168
5,23.0,0.25,0.25,0.0,0.0,0.08,0.0,0.6666666666666666,0.7133629986744582
5,24.0,0.25,0.25,0.0,0.0,0.04,0.0,0.6666666666666666,0.71336134935477
5,25.0,0.25,0.25,0.0,0.0,0.08,0.0,0.6666666666666666,0.7133704705710118
5,26.0,0.25,0.25,0.0,0.0,0.03,0.0,0.6666666666666666,0.7133694554210249
5,27.0,0.25,0.25,0.0,0.0,0.05,0.0,0.6666666666666666,0.7139317012572213
5,28.0,0.25,0.25,0.0,0.0,0.06,0.0,0.6666666666666666,0.7139422406879778
5,29.0,0.25,0.25,0.0,0.0,0.06,0.0,0.6666666666666666,0.7139358014799709
5,30.0,0.25,0.25,0.0,0.0,0.07,0.0,0.6666666666666666,0.7139687282713313
5,30.0,0.25,0.25,0.0,0.0,0.07,0.0,0.6666666666666666,0.7139687282713313
6,1.0,0.75,0.25,0.0,0.0,0.25,0.0,0.0333333333333333,0.6706313786251681
6,2.0,0.25,0.75,0.0,0.875,0.17,0.0,0.0666666666666666,0.6927059684334169
6,3.0,0.25,0.75,0.0,0.0,0.16,0.0,0.0666666666666666,0.6935075984202231
6,4.0,0.25,0.75,0.0,0.0,0.09,0.0,0.0666666666666666,0.6969178247701378
6,5.0,0.25,0.75,0.0,0.0,0.1,0.0,0.0666666666666666,0.6989448745983344
6,6.0,0.25,0.25,0.0,0.25,0.12,0.0,0.2,0.7021510843402945
6,7.0,0.25,0.25,0.0,0.0,0.14,0.0,0.2,0.7035454985194514
6,8.0,0.25,0.25,0.0,0.0,0.08,0.0,0.2,0.7042806093232901
6,9.0,0.25,0.25,0.0,0.0,0.07,0.0,0.2,0.7054349779390753
6,10.0,0.25,0.25,0.0,0.0,0.17,0.0,0.2,0.7054966828371597
6,11.0,0.125,0.5,0.0,0.375,0.14,0.0,0.3666666666666666,0.705700516648327
6,12.0,0.125,0.5,0.0,0.0,0.14,0.0,0.3666666666666666,0.7079921380159878
6,13.0,0.375,0.125,0.0,0.375,0.15,0.0,0.4333333333333333,0.7094035834230282
6,14.0,0.5,0.125,0.0,0.5,0.11,0.0,0.4666666666666667,0.712309804084558
6,15.0,0.5,0.125,0.0,0.0,0.11,0.0,0.4666666666666667,0.7130834123733445
6,16.0,0.5,0.125,0.0,0.0,0.11,0.0,0.4666666666666667,0.7132364474381264
6,17.0,0.5,0.125,0.0,0.0,0.06,0.0,0.4666666666666667,0.7132658148448536
