Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
3,22.0,0.125,0.75,0.25,0.0,0.17,0.355,0.4,0.7218909067459635
3,23.0,0.125,0.75,0.25,0.0,0.08,0.305,0.4,0.7219231763611248
3,24.0,0.125,0.75,0.25,0.0,0.14,0.285,0.4,0.7221235466963727
3,25.0,0.125,0.75,0.25,0.0,0.15,0.315,0.4,0.722184646664061
3,26.0,0.125,0.75,0.25,0.0,0.13,0.265,0.4,0.7222850539365173
3,27.0,0.125,0.75,0.25,0.0,0.14,0.265,0.4,0.7227073286363033
3,28.0,0.125,0.75,0.25,0.0,0.17,0.255,0.4,0.7242824790835647
3,29.0,0.125,0.75,0.25,0.0,0.12,0.28,0.4,0.7242923395802172
3,30.0,0.125,0.75,0.25,0.0,0.12,0.225,0.4,0.7243593207704498
3,30.0,0.125,0.75,0.25,0.0,0.12,0.225,0.4,0.7243593207704498
4,1.0,0.375,0.625,0.25,0.0,0.25,0.53,0.0333333333333333,0.6744477410639855
4,2.0,0.0,0.0,0.25,1.0,0.18,0.49,0.0666666666666666,0.6889815007510658
4,3.0,0.0,0.0,0.25,0.0,0.25,0.435,0.0666666666666666,0.6965358289376422
4,4.0,0.0,0.0,0.25,0.0,0.12,0.375,0.0666666666666666,0.6978296612199809
4,5.0,0.375,0.625,0.125,0.375,0.22,0.355,0.1666666666666666,0.7008496923685021
4,6.0,0.0,0.0,0.25,0.75,0.11,0.395,0.2,0.7035389398813412
4,7.0,0.0,0.0,0.25,0.0,0.11,0.335,0.2,0.7046169982149871
4,8.0,0.75,0.25,0.375,1.0,0.12,0.36,0.2666666666666666,0.706481387804489
4,9.0,0.0,0.0,0.25,1.0,0.1,0.285,0.3,0.7099691825686851
4,10.0,0.0,0.0,0.25,1.0,0.14,0.22,0.3333333333333333,0.7119879929693274
4,11.0,0.0,0.0,0.25,0.0,0.11,0.22,0.3333333333333333,0.715727908637779
4,12.0,0.0,0.0,0.25,0.0,0.15,0.24,0.3333333333333333,0.7175449376514339
4,13.0,0.0,0.0,0.25,0.0,0.1,0.235,0.3333333333333333,0.7178396925999911
4,14.0,0.0,0.0,0.25,0.0,0.09,0.22,0.3333333333333333,0.7179674276927108
4,15.0,0.0,0.0,0.25,0.0,0.13,0.225,0.3333333333333333,0.7181178650993063
4,16.0,0.5,0.375,0.375,1.0,0.12,0.28,0.5333333333333333,0.7199288541222214
4,17.0,0.5,0.375,0.375,0.0,0.15,0.3,0.5333333333333333,0.7202993478679728
4,18.0,0.5,0.375,0.375,0.0,0.12,0.265,0.5333333333333333,0.7210622251678831
4,19.0,0.375,0.5,0.5,0.75,0.12,0.275,0.6333333333333333,0.7217665590650437
4,20.0,0.375,0.5,0.5,0.0,0.12,0.255,0.6333333333333333,0.7218187966780625
4,21.0,0.375,0.5,0.5,0.0,0.14,0.325,0.6333333333333333,0.721856824914812
4,22.0,0.375,0.5,0.5,0.0,0.16,0.26,0.6333333333333333,0.7224399774731969
4,23.0,0.5,0.375,0.25,0.5,0.11,0.295,0.7666666666666667,0.7230511835602685
4,24.0,0.5,0.375,0.25,0.0,0.13,0.26,0.7666666666666667,0.7239877109366681
4,25.0,0.5,0.375,0.25,0.0,0.18,0.265,0.7666666666666667,0.7240933838757387
4,26.0,0.5,0.375,0.25,0.0,0.13,0.205,0.7666666666666667,0.7241290704044598
4,27.0,0.5,0.375,0.25,0.0,0.11,0.225,0.7666666666666667,0.7241610662241286
4,28.0,0.5,0.375,0.25,0.0,0.12,0.21,0.7666666666666667,0.7242253950545449
4,29.0,0.5,0.375,0.25,0.0,0.14,0.23,0.7666666666666667,0.7243567389466513
4,30.0,0.0,0.0,0.25,0.875,0.15,0.245,1.0,0.7254951770726634
4,30.0,0.0,0.0,0.25,0.875,0.15,0.245,1.0,0.7254951770726634
5,1.0,0.0,0.0,0.0,0.0,0.23,0.43,0.0333333333333333,0.6845859144388211
5,2.0,0.25,0.625,0.0,0.625,0.22,0.38,0.0666666666666666,0.6939095134532987
5,3.0,0.25,0.75,0.375,0.75,0.24,0.295,0.1,0.6982219205099724
5,4.0,0.25,0.75,0.375,0.0,0.17,0.31,0.1,0.6988543624992656
