ID,Seed,Execution,Generation,isChild,Integer_encoding,Genotype,Crossover type,Mutation type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Sec,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
NE,0,1,1,FALSE,"[1, 0, 0, 1, 3, 0, 2, -1, 1, 1, 3, 1, 1, 0, 1, 1, 3, 1, 2, -1, 1, 5, 3, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.741999984,0.751991689,282729246,23.7208631,3370538,[],[],[],-1,-1,-1
JF,0,1,1,FALSE,"[1, 0, 0, 1, 3, 0, 1, 3, 1, 1, 1, 1, 2, -1, 1, 1, 0, 0, 2, -1, 1, 5, 2, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.721499979,0.810491145,2175930734,52.79282355,2352362,[],[],[],-1,-1,-1
TP,0,1,1,FALSE,"[1, 0, 0, 1, 1, 0, 1, 2, 1, 2, -1, 0, 1, 1, 0, 1, 0, 0, 2, -1, 1, 5, 1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.722199976,0.788378358,253436782,21.84873295,490282,[],[],[],-1,-1,-1
GM,0,1,1,FALSE,"[1, 0, 0, 2, -1, 1, 1, 3, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 2, -1, 0, 5, 3, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.693899989,0.893570125,288627166,20.67201185,3822410,[],[],[],-1,-1,-1
SK,0,1,1,FALSE,"[1, 0, 0, 2, -1, 0, 1, 1, 1, 1, 3, 1, 2, -1, 0, 1, 1, 1, 2, -1, 0, 5, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.705900013,0.853690743,145323422,18.46832013,1020682,[],[],[],-1,-1,-1
HI,0,1,1,FALSE,"[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 1, 0, 1, 3, 0, 1, 3, 1, 2, -1, 1, 5, 1, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.761600018,0.725795627,236015390,20.22333121,2188298,[],[],[],-1,-1,-1
CD,0,1,1,FALSE,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 2, 0, 2, -1, 0, 1, 0, 0, 2, -1, 1, 5, 1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.686399996,0.894270003,100860782,20.77841091,299754,[],[],[],-1,-1,-1
IR,0,1,1,FALSE,"[1, 0, 0, 1, 2, 0, 2, -1, 0, 1, 0, 1, 1, 2, 0, 1, 2, 0, 2, -1, 1, 5, 3, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.100000001,2.302618027,114004958,16.6037271,2097706,[],[],[],-1,-1,-1
TF,0,1,1,FALSE,"[1, 0, 0, 1, 2, 1, 1, 3, 0, 1, 0, 0, 2, -1, 0, 1, 1, 0, 2, -1, 0, 5, 2, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'CONV': [256, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.707799971,0.879282594,489293278,28.82143617,1573866,[],[],[],-1,-1,-1
ED,0,1,1,FALSE,"[1, 0, 0, 1, 2, 1, 2, -1, 1, 1, 2, 0, 2, -1, 1, 1, 2, 0, 2, -1, 1, 5, 1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.736400008,0.780547142,122054686,19.20636082,486282,[],[],[],-1,-1,-1
