ID,isChild,Integer_encoding,Genotype,Mutation type,Crossover type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Hours,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
TK-IJ(1)[M],TRUE,"[1, 0, 1, 1, 1, 2, 2, -1, 0, 3, -1, 0, 1, 0, 2, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 7]}, {'CONV': [256, 5]}, {'POOLAVG': [-1, 2]}, {'CONV': [64, 7]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,TPC,GA,S,8,0.658200026,1.129183054,1461756606,0.022147122,3078026,"[1, 0, 1, 1, 1, 2, 2, -1, 0, 1, 1, 2, 1, 0, 2, 5, 3, 0, 5, 0, 3]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 3, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 1, 1, 1, 2, 2, -1, 0, 1, 1, 2, 1, 0, 2, 5, 3, 0, 5, 0, 3]",3,12,3
TK-IJ(2)[M],TRUE,"[1, 1, 1, 2, -1, 0, 1, 1, 1, 1, 1, 2, 3, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'CONV': [128, 7]}, {'POOLAVG': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,TPC,GA,S,8,0.717800021,0.866581559,320592638,0.012614023,1427914,"[1, 0, 1, 1, 1, 2, 2, -1, 0, 1, 1, 2, 1, 0, 2, 5, 3, 0, 5, 0, 3]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 3, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 3, -1, 1, 5, 3, 0, 5, 0, 3]",10,3,3
TK-A(2)[M],FALSE,"[1, 2, 1, 1, 1, 2, 2, -1, 0, 1, 0, 2, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [16, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,TPC,GA,S,8,0.6699,1.001117468,1766891750,0.022885777,2052474,[],[],[],6,3,0
TK-A(1)[M],FALSE,"[1, 0, 1, 1, 1, 2, 3, -1, 0, 1, 1, 2, 1, 0, 2, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 7]}, {'POOLAVG': [-1, 2]}, {'CONV': [128, 7]}, {'CONV': [64, 7]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,TPC,GA,S,8,0.653400004,1.291943669,725476030,0.016748121,2660106,[],[],[],1,9,3
TK-A(2)[M]-TK-A(1)[M](1),TRUE,"[1, 2, 1, 1, 1, 2, 2, -1, 0, 1, 0, 2, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [16, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,TPC,GA,S,8,0.694000006,0.93088603,1766891750,0.022791589,2052474,"[1, 2, 1, 1, 1, 2, 2, -1, 0, 1, 0, 2, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[1, 0, 1, 1, 1, 2, 3, -1, 0, 1, 1, 2, 1, 0, 2, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
TK-A(2)[M]-TK-A(1)[M](2),TRUE,"[1, 0, 1, 1, 1, 2, 3, -1, 0, 1, 1, 2, 1, 0, 2, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 7]}, {'POOLAVG': [-1, 2]}, {'CONV': [128, 7]}, {'CONV': [64, 7]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,TPC,GA,S,8,0.675899982,1.117173195,725476030,0.016555684,2660106,"[1, 2, 1, 1, 1, 2, 2, -1, 0, 1, 0, 2, 2, -1, 1, 5, 1, 0, 5, 0, 3]","[1, 0, 1, 1, 1, 2, 3, -1, 0, 1, 1, 2, 1, 0, 2, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
TK-LR(2)[M],FALSE,"[1, 1, 0, 1, 1, 2, 1, 0, 1, 2, -1, 0, 1, 2, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 7]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,TPC,GA,S,8,0.663399994,1.994644761,1157204638,0.021044179,18201290,[],[],[],11,1,0
TK-A(1)[M],FALSE,"[1, 0, 1, 1, 1, 2, 3, -1, 0, 1, 1, 2, 1, 0, 2, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 7]}, {'POOLAVG': [-1, 2]}, {'CONV': [128, 7]}, {'CONV': [64, 7]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,TPC,GA,S,8,0.661199987,1.158643603,725476030,0.016476631,2660106,[],[],[],1,9,3
TK-LR(2)[M]-TK-A(1)[M](1),TRUE,"[1, 1, 0, 1, 1, 2, 3, -1, 0, 2, -1, 0, 1, 2, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 7]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,TPC,GA,S,8,0.648699999,1.899161339,1022986910,0.020062098,18070218,"[1, 1, 0, 1, 1, 2, 1, 0, 1, 2, -1, 0, 1, 2, 1, 5, 5, 0, 5, 0, 3]","[1, 0, 1, 1, 1, 2, 3, -1, 0, 1, 1, 2, 1, 0, 2, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
TK-LR(2)[M]-TK-A(1)[M](2),TRUE,"[1, 0, 1, 1, 1, 2, 1, 0, 1, 1, 1, 2, 1, 0, 2, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 7]}, {'CONV': [64, 5]}, {'CONV': [128, 7]}, {'CONV': [64, 7]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,TPC,GA,S,8,0.583400011,1.463718414,1452180158,0.023882672,5609290,"[1, 1, 0, 1, 1, 2, 1, 0, 1, 2, -1, 0, 1, 2, 1, 5, 5, 0, 5, 0, 3]","[1, 0, 1, 1, 1, 2, 3, -1, 0, 1, 1, 2, 1, 0, 2, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
