ID,isChild,Integer_encoding,Genotype,Mutation type,Crossover type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Sec,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
LC-MO(1)[M]-LC-MO(2)[M](1),TRUE,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.697700024,1.065723777,259355454,44.06104183,663242,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 3, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
LC-MO(1)[M]-LC-MO(2)[M](2),TRUE,"[1, 0, 0, 1, 0, 1, 1, 3, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 7]}, {'CONV': [64, 7]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.626399994,2.096559048,1277201054,85.86486769,18011114,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 3, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
LC-MO(1)[M]-MO-LC(1)[M](1)[M],TRUE,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'CONV': [64, 7]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.585900009,2.056657314,472859998,55.32638216,8843722,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 4, 0, 5, 0, 3]",1,4,0
LC-MO(1)[M]-MO-LC(1)[M](2)[M],TRUE,"[1, 0, 0, 1, 2, 1, 2, -1, 1, 1, 2, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.728699982,1.319508076,150127774,42.01640487,3792778,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 1, 1, 5, 5, 0, 5, 0, 3]",6,3,2
LC-MO(1)[M]-MO-LC(2)[M](1)[M],TRUE,"[1, 0, 0, 1, 1, 2, 1, 0, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 7]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.700299978,1.003898144,206896542,43.60731554,612714,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 2, 1, 0, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 2, 1, 0, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]",6,0,0
LC-MO(1)[M]-MO-LC(2)[M](2)[M],TRUE,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 2, 2, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'CONV': [128, 7]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.646399975,2.406353951,703580830,73.89110112,34211722,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 2, 1, 0, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]",1,6,1
LC-MO(1)[M]-LC-MO(2)[M](1)[M],TRUE,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.693400025,1.072447658,259355454,44.40901494,663242,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 3, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 1, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]",4,2,0
LC-MO(1)[M]-LC-MO(2)[M](2)[M],TRUE,"[1, 0, 0, 1, 1, 1, 1, 3, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [256, 7]}, {'CONV': [64, 7]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.100000001,2.302602768,1714473630,95.51381588,18438154,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 3, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 3, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]",1,5,1
LC,FALSE,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.689700007,0.944261253,156359422,42.92483401,358058,[],[],[],-1,-1,-1
MO,FALSE,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.719600022,1.201721072,33090078,41.77019334,898410,[],[],[],-1,-1,-1
