ID,isChild,Integer_encoding,Genotype,Mutation type,Crossover type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Hours,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
KL-DT(1)[M]-KL-HO(2)[M](2),TRUE,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.694500029,1.643350363,637815966,0.01626438,7173002,"[1, 2, 0, 2, -1, 0, 1, 0, 1, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
KL-HO(1)[M],FALSE,"[1, 2, 0, 1, 2, 0, 1, 0, 1, 2, -1, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.673300028,1.640036106,1238006558,0.021128292,2848906,[],[],[],5,6,3
SC-DT(1)[M],FALSE,"[1, 1, 0, 1, 2, 0, 1, 0, 2, 3, -1, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 7]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.696099997,1.529719949,1335065374,0.02252183,2943626,[],[],[],9,4,2
KL-HO(1)[M]-SC-DT(1)[M](1),TRUE,"[1, 2, 0, 1, 2, 0, 1, 0, 2, 1, 0, 2, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 7]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.674700022,1.668928266,1640659742,0.024891175,3242122,"[1, 2, 0, 1, 2, 0, 1, 0, 1, 2, -1, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[1, 1, 0, 1, 2, 0, 1, 0, 2, 3, -1, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]",[],-1,-1,-1
KL-HO(1)[M]-SC-DT(1)[M](2),TRUE,"[1, 1, 0, 1, 2, 0, 1, 0, 1, 1, 0, 2, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.684499979,1.211260557,932412190,0.018809956,2550410,"[1, 2, 0, 1, 2, 0, 1, 0, 1, 2, -1, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[1, 1, 0, 1, 2, 0, 1, 0, 2, 3, -1, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]",[],-1,-1,-1
KL-HO(2)[M],FALSE,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.691999972,1.434691906,289309374,0.013461583,2378442,[],[],[],3,4,0
KL-DT(2)[M],FALSE,"[1, 0, 1, 1, 2, 0, 1, 0, 2, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [256, 3]}, {'CONV': [64, 7]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.613900006,1.706047297,1055916734,0.020421866,3127178,[],[],[],3,4,0
KL-HO(2)[M]-KL-DT(2)[M](1),TRUE,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.671700001,1.157652259,289309374,0.013426264,2378442,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[1, 0, 1, 1, 2, 0, 1, 0, 2, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
KL-HO(2)[M]-KL-DT(2)[M](2),TRUE,"[1, 0, 1, 1, 2, 0, 1, 0, 2, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [256, 3]}, {'CONV': [64, 7]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.632099986,1.358920217,1055916734,0.020381769,3127178,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[1, 0, 1, 1, 2, 0, 1, 0, 2, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
SC-RM(2)[M],FALSE,"[3, -1, 1, 1, 1, 2, 1, 2, 0, 2, -1, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'POOLAVG': [-1, 3]}, {'CONV': [128, 7]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.589999974,1.214220881,91221924,0.011867965,1724810,[],[],[],5,13,4
KL-DT(1)[M],FALSE,"[1, 2, 0, 2, -1, 0, 1, 0, 1, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.672200024,1.074426413,218766110,0.012231068,2467914,[],[],[],6,5,2
SC-RM(2)[M]-KL-DT(1)[M](1),TRUE,"[3, -1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'POOLAVG': [-1, 3]}, {'CONV': [128, 7]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.578400016,1.284386992,63948260,0.011921912,1226314,"[3, -1, 1, 1, 1, 2, 1, 2, 0, 2, -1, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[1, 2, 0, 2, -1, 0, 1, 0, 1, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]",[],-1,-1,-1
SC-RM(2)[M]-KL-DT(1)[M](2),TRUE,"[1, 2, 0, 2, -1, 0, 1, 2, 0, 1, 2, 0, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.720499992,1.007513404,311526750,0.013143373,3285898,"[3, -1, 1, 1, 1, 2, 1, 2, 0, 2, -1, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[1, 2, 0, 2, -1, 0, 1, 0, 1, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]",[],-1,-1,-1
