GO1,GO2,Wilcoxon Statistic,p-value,H0 veredict
NONE_MPAR,NONE_NONE,0.0,1.0,Non-rejected
NONE_MPAR,SPC_MPAR,0.0,1.0,Non-rejected
NONE_MPAR,SPC_MSWAP,0.0,1.0,Non-rejected
NONE_MPAR,SPC_NONE,1.0,1.0,Non-rejected
NONE_MPAR,TPC_MPAR,1.0,1.0,Non-rejected
NONE_MPAR,TPC_MSWAP,0.0,1.0,Non-rejected
NONE_MPAR,TPC_NONE,0.0,1.0,Non-rejected
NONE_MPAR,UC_MPAR,0.0,1.0,Non-rejected
NONE_MPAR,UC_MSWAP,0.0,1.0,Non-rejected
NONE_MPAR,UC_NONE,1.0,1.0,Non-rejected
NONE_MSWAP,NONE_NONE,0.0,1.0,Non-rejected
NONE_MSWAP,SPC_MPAR,0.0,1.0,Non-rejected
NONE_MSWAP,SPC_MSWAP,0.0,1.0,Non-rejected
NONE_MSWAP,SPC_NONE,0.0,1.0,Non-rejected
NONE_MSWAP,TPC_MPAR,1.0,1.0,Non-rejected
NONE_MSWAP,TPC_MSWAP,0.0,1.0,Non-rejected
NONE_MSWAP,TPC_NONE,0.0,1.0,Non-rejected
NONE_MSWAP,UC_MPAR,0.0,1.0,Non-rejected
NONE_MSWAP,UC_MSWAP,0.0,1.0,Non-rejected
NONE_MSWAP,UC_NONE,0.0,1.0,Non-rejected
NONE_NONE,SPC_MPAR,0.0,1.0,Non-rejected
NONE_NONE,SPC_MSWAP,0.0,1.0,Non-rejected
NONE_NONE,SPC_NONE,1.0,1.0,Non-rejected
NONE_NONE,TPC_MPAR,1.0,1.0,Non-rejected
NONE_NONE,TPC_MSWAP,0.0,1.0,Non-rejected
NONE_NONE,TPC_NONE,0.0,1.0,Non-rejected
NONE_NONE,UC_MPAR,0.0,1.0,Non-rejected
NONE_NONE,UC_MSWAP,0.0,1.0,Non-rejected
NONE_NONE,UC_NONE,1.0,1.0,Non-rejected
SPC_MPAR,SPC_MSWAP,0.0,1.0,Non-rejected
SPC_MPAR,SPC_NONE,1.0,1.0,Non-rejected
SPC_MPAR,TPC_MPAR,1.0,1.0,Non-rejected
SPC_MPAR,TPC_MSWAP,0.0,1.0,Non-rejected
SPC_MPAR,TPC_NONE,0.0,1.0,Non-rejected
SPC_MPAR,UC_MPAR,0.0,1.0,Non-rejected
SPC_MPAR,UC_MSWAP,0.0,1.0,Non-rejected
SPC_MPAR,UC_NONE,1.0,1.0,Non-rejected
SPC_MSWAP,SPC_NONE,1.0,1.0,Non-rejected
SPC_MSWAP,TPC_MPAR,1.0,1.0,Non-rejected
SPC_MSWAP,TPC_MSWAP,0.0,1.0,Non-rejected
SPC_MSWAP,TPC_NONE,0.0,1.0,Non-rejected
SPC_MSWAP,UC_MPAR,0.0,1.0,Non-rejected
SPC_MSWAP,UC_MSWAP,0.0,1.0,Non-rejected
SPC_MSWAP,UC_NONE,1.0,1.0,Non-rejected
SPC_NONE,TPC_MPAR,1.0,1.0,Non-rejected
SPC_NONE,TPC_MSWAP,0.0,1.0,Non-rejected
SPC_NONE,TPC_NONE,0.0,1.0,Non-rejected
SPC_NONE,UC_MPAR,0.0,1.0,Non-rejected
SPC_NONE,UC_MSWAP,0.0,1.0,Non-rejected
SPC_NONE,UC_NONE,0.0,1.0,Non-rejected
TPC_MPAR,TPC_MSWAP,0.0,1.0,Non-rejected
TPC_MPAR,TPC_NONE,0.0,1.0,Non-rejected
TPC_MPAR,UC_MPAR,0.0,1.0,Non-rejected
TPC_MPAR,UC_MSWAP,0.0,1.0,Non-rejected
TPC_MPAR,UC_NONE,0.0,1.0,Non-rejected
TPC_MSWAP,TPC_NONE,0.0,1.0,Non-rejected
TPC_MSWAP,UC_MPAR,0.0,1.0,Non-rejected
TPC_MSWAP,UC_MSWAP,0.0,1.0,Non-rejected
TPC_MSWAP,UC_NONE,1.0,1.0,Non-rejected
TPC_NONE,UC_MPAR,1.0,1.0,Non-rejected
TPC_NONE,UC_MSWAP,1.0,1.0,Non-rejected
TPC_NONE,UC_NONE,1.0,1.0,Non-rejected
UC_MPAR,UC_MSWAP,1.0,1.0,Non-rejected
UC_MPAR,UC_NONE,1.0,1.0,Non-rejected
UC_MSWAP,UC_NONE,1.0,1.0,Non-rejected
